TAHUN,PROVINSI,IKP,Kerentanan Area,P0,KPM,RLS,RTL,Wirausaha,Usaha Kecil,Usaha Besar,Karyawan/Formal,Lepas Pertanian,Lepas Non-Pertanian,Pekerja Keluarga,1,2-3,4-5,≥6,Pengeluaran Pangan,Pengeluaran Nonpangan
2021,LAMPUNG,"77,96",Sangat Tahan,"12,15",715565,"8,56",28,843719,815532,108689,1120435,293562,304097,798286,"5,15","41,5","45,42","7,94",539963.55,490615.03
2021,KEPULAUAN BANGKA BELITUNG,"73,22",Tahan,"4,79",53248,"8,54","24,08",174840,69459,34812,309407,16249,28887,67787,"8,18","43,21","41,02","7,58",783203.97,748970.15
2021,KEPULAUAN RIAU,"63,26",Agak Tahan,"5,94",59911,"10,38","15,23",216764,63227,32634,671961,5729,35938,61166,"10,69","38,2","42,46","8,65",828206.18,1027089.42
2021,DKI JAKARTA,"78,01",Sangat Tahan,"4,70",224107,"11,20","24,09",1111762,254028,151594,2773112,764,191270,254885,"10,8","42,23","39,14","7,83",923932.8,1412496.63
2021,JAWA BARAT,"77,79",Sangat Tahan,"8,19",4220864,"9,03","26,66",4957657,2319446,701686,9426711,1196453,1750584,1960944,"8,29","44,95","40,03","6,73",677382.61,695276.49
2021,JAWA TENGAH,"82,73",Sangat Tahan,"11,52",3282992,"8,26","37,4",3529659,2734504,552291,6514740,722069,1494362,2288145,"8,21","42,28","40,71","8,8",519009.15,529599.86
2021,DI YOGYAKARTA,"81,43",Sangat Tahan,"12,36",336898,"10,04","36,83",427302,357599,78621,916295,29577,120605,298524,"16,42","38,03","37,45","8,1",594622.24,823248.11
2021,JAWA TIMUR,"79,7",Sangat Tahan,"11,00",3068572,"8,37","37,83",3955551,3489213,715536,7145074,1303359,1215213,3213804,"8,86","45,38","37,79","7,97",557790.8,555211.15
2021,BANTEN,"74,38",Tahan,"6,58",537221,"9,29","24,01",1279760,464480,116642,2797196,178501,379750,482015,"5,32","40,98","44,03","9,67",744893.26,766363.4
2021,BALI,"83,82",Sangat Tahan,"4,63",154970,"9,45","32,51",394473,446591,72273,975370,46865,97005,409277,"8,57","37,43","39,87","14,12",628472.06,840152.05
2021,NUSA TENGGARA BARAT,"75,67",Sangat Tahan,"13,99",473816,"8,13",24,552722,592030,53717,640035,144841,223012,451038,"8,37","48,67","36,59","6,37",637897.8,559650.1
2021,NUSA TENGGARA TIMUR,"67,35",Tahan,"20,72",424085,"8,20","29,54",552687,700734,53971,620867,54409,69566,756386,"8,06","30,43","39,42","22,09",468252.17,372106.44
2021,KALIMANTAN BARAT,"71,32",Tahan,"7,00",290042,"8,00","26,18",516165,398851,77576,893742,79283,107915,408921,"6,17","37,31","43,32","13,2",603291.38,559766.88
2021,KALIMANTAN TENGAH,"73,68",Tahan,"5,16",86319,"9,03","20,8",297585,180971,39120,560049,44165,53562,170985,"8,54","44,25","38,68","8,52",713144.53,682681.29
2021,KALIMANTAN SELATAN,"80,29",Sangat Tahan,"4,70",165801,"8,74","26,95",508819,323496,65771,785729,45970,81794,297848,"9,42","42,43","39,77","8,38",701228.0,682572.4
2021,KALIMANTAN TIMUR,"77,46",Sangat Tahan,"6,41",110490,"10,09","23,39",356824,194637,63674,856849,19269,57496,171612,"8,77","38,14","41,14","11,95",736465.16,982145.65
2021,KALIMANTAN UTARA,"73,02",Tahan,"7,10",25907,"9,40","23,75",65446,40932,10648,155933,11142,12691,41360,"9,82","33,81","40,12","16,25",742833.93,811875.93
2021,SULAWESI UTARA,"78,3",Sangat Tahan,"7,57",132042,"9,83","33,87",309551,117791,31798,411072,56735,84547,115303,"8,08","42,33","37,33","12,26",612971.86,598707.81
2021,SULAWESI TENGAH,"75,73",Sangat Tahan,"12,59",187427,"9,18","26,64",340232,274792,37171,461171,75384,74472,261508,"7,12","37,42","39,68","15,78",512309.16,539396.49
2021,SULAWESI SELATAN,"80,82",Sangat Tahan,"8,66",569335,"8,95","33,2",874829,815412,134278,1395069,126180,136924,677741,"7,78","36,29","39,99","15,93",533482.09,570614.67
2021,SULAWESI TENGGARA,"76,64",Sangat Tahan,"11,70",169843,"9,52","25,29",277949,241524,48268,445260,16317,54723,243028,"7,17","33,48","41,9","17,45",509723.28,560769.94
2021,GORONTALO,"80,52",Sangat Tahan,"15,51",99289,"8,32","27,47",143237,97883,17490,200292,27494,26043,66570,"6,82","38,64","40,84","13,7",529729.27,616060.84
2021,SULAWESI BARAT,"75,49",Sangat Tahan,"11,57",94456,"8,39","24,8",149324,166469,8350,178415,21321,28332,134333,"5,14","35,41","43,15","16,3",453030.94,439349.35
2021,MALUKU,"58,7",Agak Tahan,"17,09",97879,"10,25","27,41",248022,116500,15716,269239,7049,20186,124043,"8,46","30,18","37,5","23,86",536326.5,576419.33
2021,MALUKU UTARA,"59,58",Agak Tahan,"6,64",45980,"9,51","24,53",148522,87018,15939,191310,13904,26106,85899,"7,18","32,2","41,23","19,39",556903.28,572438.1
2021,PAPUA BARAT,"46,05",Rentan,"21,83",62756,"10,03","17,95",102671,76765,9554,193984,2097,12084,86526,"7,82","36,6","36,55","19,02",698303.14,749177.85
2021,PAPUA,"35,48",Sangat Rentan,"27,12",330603,"7,05","15,19",340845,567075,15046,353598,4630,16162,590425,"8,69","41,06","36,66","13,6",792780.9,575598.21
2022,ACEH,"70,16",Tahan,"14,70",3323087,"9,79","27,59",604272,318339,80333,842954,146394,102538,300164,"6,36","32,32","45,74","15,58",668480.98,511651.95
2022,SUMATERA UTARA,"71,22",Tahan,"8,38",4173274,"9,99","26,48",1442845,1033192,264083,2681903,295867,360062,1119422,5,"35,4","45,27","14,32",663926.75,552569.9
2022,SUMATERA BARAT,"79,45",Sangat Tahan,"5,98",1793037,"9,51","32,74",653862,433372,93174,840702,159216,120536,387302,"4,31","33,81","44,69","17,2",716261.97,626723.54
2022,RIAU,"67,59",Tahan,"6,81",1720257,"9,54","21,38",694008,345988,179443,1277659,233706,103379,334746,"3,52","34,18","48,17","14,13",730825.57,694345.29
2022,JAMBI,"69,5",Tahan,"7,66",976860,"9,07","25,2",440747,234315,90532,628911,101742,44086,257486,"3,54","36,86","49,1","10,5",663020.58,598816.2
2022,SUMATERA SELATAN,"69,64",Tahan,"11,93",3023782,"8,82","27,25",1012639,730512,105224,1470045,92464,93482,785338,"3,39","35,47","49,25","11,89",620732.28,528080.19
2022,BENGKULU,"67,99",Tahan,"14,48",936300,"9,28","25,29",225584,191607,39042,297741,63923,37795,181804,"4,06","36,87","49,25","9,82",626208.94,570274.83
2022,LAMPUNG,"78,61",Sangat Tahan,"11,51",4504276,"8,61","28,75",878210,889961,114933,1135028,317382,244568,807884,"2,91","38,95","48,64","9,49",575672.68,499314.76
2022,KEPULAUAN BANGKA BELITUNG,"71,71",Tahan,"4,53",220955,"8,57","24,32",206869,63206,43138,325048,16058,17136,59517,"4,91","41,18","44,27","9,63",881622.45,772658.08
2022,KEPULAUAN RIAU,"63,83",Agak Tahan,"6,14",394277,"10,46","17,06",228843,66721,37329,698846,6322,41320,76616,"9,42","37,05","43,88","9,64",846221.75,985478.65
2022,DKI JAKARTA,"78,25",Sangat Tahan,"4,65",1523154,"11,30","26,87",1183102,195349,154147,2923158,2488,174406,242452,"7,03","40,1","45,07","7,8",953320.89,1572026.48
2022,JAWA BARAT,"77,55",Sangat Tahan,"8,02",26184572,"9,14","26,65",5139406,2533045,800017,9846241,1159651,1896310,2077898,"5,71",43,"44,2","7,09",708389.69,729004.43
2022,JAWA TENGAH,"82,95",Sangat Tahan,"10,96",21394777,"8,38","36,09",3922691,2805232,556838,6770006,720375,1353487,2261830,"4,88","40,35","44,71","10,06",572808.11,548985.75
2022,DI YOGYAKARTA,"80,88",Sangat Tahan,"11,42",2272724,"10,07","43,06",468305,327188,82675,962181,23106,108187,269489,"7,55","39,08","42,98","10,39",628844.56,851529.72
2022,JAWA TIMUR,"79,85",Sangat Tahan,"10,44",20862092,"8,50","38,21",4436795,3779207,594208,7216142,1298841,1179149,3108951,"5,45","42,36","42,6","9,59",600847.63,564290.28
2022,BANTEN,"73,78",Tahan,"6,20",3225853,"9,46","22,93",1302970,455985,130221,2961507,172097,444403,473435,"3,8","38,41","48,26","9,53",830110.79,789460.92
2022,BALI,"85,19",Sangat Tahan,"4,55",1076773,"9,74","37,99",449057,413995,75983,1138045,63474,104432,362084,"3,51","33,85","44,16","18,48",609855.33,832754.43
2022,NUSA TENGGARA BARAT,"76,58",Sangat Tahan,"13,75",2907199,"8,31","23,28",544562,626343,45987,623924,178012,229392,470125,"5,43","44,89","42,58","7,11",666966.05,493696.03
2022,NUSA TENGGARA TIMUR,"68,42",Tahan,"20,14",2356889,"8,25","31,97",700707,697198,35932,685800,36937,55807,702912,"4,58","26,42","42,24","26,77",480749.17,403352.91
2022,KALIMANTAN BARAT,"70,81",Tahan,"6,77",1889356,"8,10","25,98",575269,406906,77405,977144,77840,81219,361740,"3,81","34,49","47,2","14,51",666065.89,566552.33
2022,KALIMANTAN TENGAH,"69,96",Tahan,"5,25",527945,"9,03","21,64",323876,154229,42295,609738,33445,34642,146250,"5,71","43,33","42,74","8,23",762633.94,679661.3
2022,KALIMANTAN SELATAN,"81,05",Sangat Tahan,"4,55",1001571,"8,89","24,9",540516,306435,53261,840029,26373,54905,270706,"6,39","40,84","44,38","8,4",727960.88,679758.06
2022,KALIMANTAN TIMUR,"77,65",Sangat Tahan,"6,38",643543,"10,13","23,16",418152,147138,58511,915189,20943,47312,139675,"5,68","36,72","45,44","12,17",813447.68,984037.85
2022,KALIMANTAN UTARA,"71,04",Tahan,"6,82",160360,"9,45","22,64",76378,35959,13200,167333,13037,6976,41101,"4,89","32,69","43,56","18,86",758431.1,811754.88
2022,SULAWESI UTARA,"74,3",Tahan,"7,31",858621,"9,87","34,95",360403,95154,34283,439544,58533,78562,93486,"6,1","41,45","40,59","11,86",674114.08,562591.43
2022,SULAWESI TENGAH,"75,92",Sangat Tahan,"12,32",1321210,"9,17","26,79",397661,288105,43087,466606,67253,59734,263874,"4,34","34,82","43,42","17,43",561738.97,521939.99
2022,SULAWESI SELATAN,"81,38",Sangat Tahan,"8,65",3867489,"9,09","32,91",994371,826966,143320,1443452,103020,103553,738968,"4,6","33,71","43,97","17,73",566223.75,576387.95
2022,SULAWESI TENGGARA,"75,04",Sangat Tahan,"11,22",1204426,"9,59","25,25",336223,218186,41512,460961,20070,42213,216756,"3,95","32,15","43,51","20,4",535048.46,576546.85
2022,GORONTALO,"80,35",Sangat Tahan,"15,47",708365,"8,39","28,92",151566,109126,19020,196178,31464,28726,78170,"4,34","34,96","44,11","16,59",534461.48,608535.25
2022,SULAWESI BARAT,"74,04",Tahan,"11,84",649584,"8,47","26,32",151389,197500,8328,158165,24150,29020,163350,"3,08","31,47","45,47","19,97",491876.25,464029.03
2022,MALUKU,"60,2",Agak Tahan,"16,10",551155,"10,37","29,46",264482,106529,16494,280340,4937,19448,116614,"4,36","30,58","38,84","26,21",589485.16,580343.17
2022,MALUKU UTARA,"58,39",Agak Tahan,"6,30",299945,"9,60","24,22",168100,97571,16270,184757,14057,21808,82405,"3,13","31,1","43,45","22,32",585162.43,543423.92
2022,PAPUA BARAT,"45,92",Rentan,"21,38",258720,"10,14","20,02",118867,81861,6972,186744,1506,7823,83932,"5,43","33,96","39,87","20,74",723854.71,724650.68
2022,PAPUA,"37,8",Rentan,"26,68",1205586,"7,31","14,68",408941,574734,10830,296534,3088,17758,622882,"6,98","37,45","39,26","16,32",858106.47,596214.24
2023,ACEH,"72,96",Tahan,"14,45",2780856,"9,89","28,98",626676,323177,103392,879044,117333,114334,283389,"3,93","28,4","49,11","18,56",702547.37,523428.83
2023,SUMATERA UTARA,"75,97",Sangat Tahan,"8,15",3921537,"10,07","29,71",1678211,1035761,287853,2843817,278743,272936,1152216,"3,92","31,62","47,83","16,63",707587.6,597751.75
2023,SUMATERA BARAT,"83,22",Sangat Tahan,"5,95",1648519,"9,59","32,44",694094,469208,121729,896996,166420,133170,363308,"4,36","30,69","46,59","18,36",747469.07,664354.39
2023,RIAU,"68,68",Tahan,"6,68",1516642,"9,60","24,03",688343,290574,202733,1234451,192193,85568,308472,"2,01","27,71","52,89","17,39",776144.66,751404.7
2023,JAMBI,"72,17",Tahan,"7,58",885167,"9,16","30,7",455085,229175,90143,635648,100571,52692,238950,"2,63","34,64","49,09","13,64",720949.34,703176.06
2023,SUMATERA SELATAN,"73,82",Tahan,"11,78",2706411,"8,90","29,99",1063720,710379,138924,1490405,118662,119898,757671,"2,55","30,72","52,79","13,94",647779.5,562206.47
2023,BENGKULU,"72,27",Tahan,"14,04",819660,"9,35","29,74",232544,199256,34698,310058,64601,49386,179072,"2,64","36,75","50,02","10,58",679166.28,653392.1
2023,LAMPUNG,"81,56",Sangat Tahan,"11,11",4060111,"8,72","30,73",1032382,887494,126013,1252006,286906,310872,801985,"3,86","40,16","47,11","8,87",627879.17,575138.13
2023,KEPULAUAN BANGKA BELITUNG,"71,14",Tahan,"4,52",200624,"8,66","28,1",218634,60287,37099,329788,18062,20934,65011,"3,68","37,55","47,23","11,54",879796.7,847753.11
2023,KEPULAUAN RIAU,"65,1",Agak Tahan,"5,69",340268,"10,52","20,38",205557,57425,38465,637669,3948,13433,62859,"2,69","36,41","48,04","12,86",863530.15,1126172.38
